% >= HS,% >= Bachelor's,"Pov for 25yo<=, <HS","Pov for 25<=, >=Bachelor's",HFR,SNAP_rate,DPI_rate,PI_rate
82.1,21.9,30.0,4.1,0.456,0.1476212460444084,0.08201081782682662,0.08928662723562544
91.0,27.9,17.7,2.8,0.611,0.13292486548053886,0.1284470366442795,0.13893523427987906
85.6,25.9,30.1,4.6,0.346,0.13995501381718473,0.08518035174910564,0.09263880379597696
82.9,19.5,26.7,3.9,0.493,0.14267621728187768,0.07748394029251002,0.08442625450488025
80.7,30.1,25.3,4.9,0.174,0.0878929752407513,0.11540954219470076,0.1297707447119347
89.7,36.4,25.3,4.6,0.384,0.08591160291443625,0.09401438856259739,0.10509791720328371
88.6,35.5,21.1,3.4,0.172,0.10946571593211409,0.14126209055135786,0.16176026211189357
87.7,27.8,22.1,2.8,0.269,0.12174045290709169,0.10165954405122199,0.11248399312578895
85.5,25.8,28.1,5.6,0.27,0.1307700224077436,0.09554446382039236,0.10386397117980949
84.3,27.3,30.1,4.7,0.364,0.14107258745355242,0.0879555022082345,0.0968925345018694
89.9,29.5,18.2,4.1,0.084,0.09912474316528043,0.11637102635191515,0.12707015513265682
88.3,24.4,25.6,5.5,0.523,0.13548774165133542,0.08011562156997723,0.0870489276220763
86.9,30.8,24.3,4.0,0.243,0.1184264538150422,0.10220545242577254,0.11380121472200826
87.0,22.7,25.1,3.4,0.391,0.12286065227113142,0.085189879821361,0.09349837407751412
90.6,24.9,22.1,3.5,0.411,0.11642264142307054,0.08682459852922786,0.0952525626533076
89.2,29.8,24.2,3.7,0.439,0.09465097153563085,0.09377138821666978,0.10333787799843508
81.9,20.5,32.2,4.1,0.464,0.17197277522222248,0.07799896458451579,0.08569226786863522
81.9,21.4,28.0,4.2,0.454,0.15627503961955758,0.09445734521150749,0.10238196685804776
90.3,26.8,24.8,3.6,0.46,0.1723836990779532,0.08457162134660269,0.09256587161749634
88.1,36.1,19.7,2.8,0.196,0.09139674510056457,0.11960234817543536,0.1350729210097211
89.1,39.0,25.4,3.9,0.122,0.12333703245373091,0.12045572581384287,0.13738584735315834
88.7,25.2,27.9,4.3,0.342,0.17687629002204316,0.0843478507579294,0.09248997995860371
91.8,31.8,25.6,3.2,0.41,0.08489884047604931,0.09622222392218586,0.10804036053678902
81.0,19.5,32.9,5.1,0.48,0.16909182323316965,0.07948933286049338,0.08584674615439458
86.9,25.6,27.1,4.3,0.463,0.13931468526708607,0.08601429064913717,0.09434083147141956
91.7,28.8,23.9,5.6,0.621,0.09900508259527693,0.08105758702113237,0.08856900237618158
90.4,28.6,24.6,3.0,0.425,0.0966267391812085,0.09546533871631467,0.10453730272596845
84.7,21.7,22.3,5.1,0.372,0.10889856750430132,0.09334044580227942,0.10178751296964773
91.5,32.8,15.3,3.0,0.394,0.0925633110930464,0.11023434756543553,0.12005661281529438
88.0,35.4,20.5,3.2,0.085,0.076663847578868,0.12521509597874936,0.14151056874229492
83.3,25.0,33.9,5.4,0.375,0.13569172341779678,0.08401388948787414,0.0908276843578595
84.9,32.5,27.3,4.9,0.143,0.1470971636341201,0.11297035320444437,0.13109181820367247
84.7,26.5,30.9,4.0,0.35,0.13748307957347314,0.08502355988067098,0.09346703319304828
90.3,27.6,20.7,4.1,0.543,0.08752478495927421,0.09692666504999786,0.10612527281286108
88.1,24.6,27.4,4.0,0.357,0.14889661277868654,0.08427866024495555,0.09330347888848473
86.2,22.9,25.4,3.8,0.488,0.14515349008589917,0.08975658061396034,0.09748715769257879
88.8,28.8,26.6,5.8,0.409,0.1871628126706464,0.08212226227609036,0.09151543622112654
88.4,27.1,24.3,3.6,0.355,0.12412829743741428,0.09767872156368579,0.108454669035642
83.5,30.2,23.5,5.2,0.091,0.15197305459923688,0.10135572154762053,0.11179333573621347
84.1,24.5,30.9,4.1,0.418,0.15038665419926162,0.07926686435111302,0.0861510747459539
89.6,26.3,26.8,4.0,0.523,0.10977097082660564,0.09859039676443386,0.10560392531861862
83.6,23.1,29.1,4.1,0.438,0.17590097444833638,0.08713079192006434,0.09325867602368701
80.7,25.9,29.1,3.9,0.346,0.13368691140888356,0.10348229431867388,0.11238019907848615
90.6,29.3,23.7,4.7,0.416,0.09858129030425272,0.09217544956109201,0.10106587881026108
91.0,33.6,24.3,4.6,0.484,0.14066136804166246,0.0927460474385222,0.1011540467534894
86.5,34.2,22.3,2.8,0.363,0.09106695821744146,0.10876232820045363,0.12185451286650459
89.8,31.1,25.9,4.2,0.338,0.14382689078789335,0.10059385552673847,0.10949432325365775
83.2,17.5,29.5,4.6,0.572,0.1593053346631803,0.07470968002803462,0.08158624686632342
