Geography,LocYear,% >= HS,% >= Bachelor's,"Pov for 25yo<=, <HS","Pov for 25<=, >=Bachelor's",GeoFIPS,HFR,SNAP_rate,DPI_rate,PI_rate
0400000US01,AL2010,0.821,0.21899999999999997,0.3,0.040999999999999995,1000,0.456,0.1476212460444084,0.0820108178268266,0.0892866272356254
0400000US02,AK2010,0.91,0.27899999999999997,0.177,0.027999999999999997,2000,0.611,0.1329248654805388,0.1284470366442795,0.138935234279879
0400000US04,AZ2010,0.856,0.259,0.301,0.046,4000,0.346,0.1399550138171847,0.0851803517491056,0.0926388037959769
0400000US05,AR2010,0.8290000000000001,0.195,0.267,0.039,5000,0.493,0.1426762172818776,0.07748394029251,0.0844262545048802
0400000US06,CA2010,0.807,0.301,0.253,0.049,6000,0.174,0.0878929752407513,0.1154095421947007,0.1297707447119347
0400000US08,CO2010,0.897,0.364,0.253,0.046,8000,0.384,0.0859116029144362,0.0940143885625973,0.1050979172032837
0400000US09,CT2010,0.8859999999999999,0.355,0.21100000000000002,0.034,9000,0.172,0.109465715932114,0.1412620905513578,0.1617602621118935
0400000US10,DE2010,0.877,0.278,0.221,0.027999999999999997,10000,0.269,0.1217404529070916,0.1016595440512219,0.1124839931257889
0400000US12,FL2010,0.855,0.258,0.281,0.055999999999999994,12000,0.27,0.1307700224077436,0.0955444638203923,0.1038639711798094
0400000US13,GA2010,0.843,0.273,0.301,0.047,13000,0.364,0.1410725874535524,0.0879555022082345,0.0968925345018694
0400000US15,HI2010,0.899,0.295,0.182,0.040999999999999995,15000,0.084,0.0991247431652804,0.1163710263519151,0.1270701551326568
0400000US16,ID2010,0.883,0.244,0.256,0.055,16000,0.523,0.1354877416513354,0.0801156215699772,0.0870489276220763
0400000US17,IL2010,0.8690000000000001,0.308,0.243,0.04,17000,0.243,0.1184264538150422,0.1022054524257725,0.1138012147220082
0400000US18,IN2010,0.87,0.22699999999999998,0.251,0.034,18000,0.391,0.1228606522711314,0.085189879821361,0.0934983740775141
0400000US19,IA2010,0.9059999999999999,0.249,0.221,0.035,19000,0.411,0.1164226414230705,0.0868245985292278,0.0952525626533076
0400000US20,KS2010,0.892,0.298,0.242,0.037000000000000005,20000,0.439,0.0946509715356308,0.0937713882166697,0.103337877998435
0400000US21,KY2010,0.8190000000000001,0.205,0.322,0.040999999999999995,21000,0.464,0.1719727752222224,0.0779989645845157,0.0856922678686352
0400000US22,LA2010,0.8190000000000001,0.214,0.28,0.042,22000,0.454,0.1562750396195575,0.0944573452115074,0.1023819668580477
0400000US23,ME2010,0.903,0.268,0.248,0.036000000000000004,23000,0.46,0.1723836990779532,0.0845716213466026,0.0925658716174963
