"GEO_ID","NAME","B19058_001E","B19058_001M","B19058_002E","B19058_002M","B19058_003E","B19058_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With cash public assistance or Food Stamps/SNAP","Margin of Error!!Total!!With cash public assistance or Food Stamps/SNAP","Estimate!!Total!!No cash public assistance or Food Stamps/SNAP","Margin of Error!!Total!!No cash public assistance or Food Stamps/SNAP",
"0100000US","United States","114991725","179541","15782796","59429","99208929","163750",
"0400000US01","Alabama","1844546","11416","322370","8606","1522176","10634",
"0400000US02","Alaska","257330","3380","32661","2699","224669","3240",
"0400000US04","Arizona","2356055","12130","344392","10288","2011663","13828",
"0400000US05","Arkansas","1127621","7837","180949","7741","946672","8673",
"0400000US06","California","12468743","22250","1204038","16207","11264705","26066",
"0400000US08","Colorado","1975388","9057","180313","6181","1795075","11050",
"0400000US09","Connecticut","1351643","7309","162256","5356","1189387","8537",
"0400000US10","Delaware","333192","3426","42340","2915","290852","3963",
"0400000US11","District of Columbia","268670","3200","40544","2865","228126","4138",
"0400000US12","Florida","7106283","31131","1050086","16975","6056197","34238",
"0400000US13","Georgia","3494542","15336","546514","11564","2948028","14949",
"0400000US15","Hawaii","448563","5562","54046","3947","394517","6204",
"0400000US16","Idaho","580193","6204","83757","4787","496436","6733",
"0400000US17","Illinois","4737208","12865","609329","10996","4127879","15448",
"0400000US18","Indiana","2467111","11107","323649","8243","2143462","13064",
"0400000US19","Iowa","1216765","7072","139557","5427","1077208","8248",
"0400000US20","Kansas","1101701","5567","113706","4428","987995","7321",
"0400000US21","Kentucky","1672134","9367","300100","7598","1372034","10100",
"0400000US22","Louisiana","1702030","9725","285804","8027","1416226","10404",
"0400000US23","Maine","552051","5238","101132","4909","450919","6052",
"0400000US24","Maryland","2134517","9936","224947","7616","1909570","10951",
"0400000US25","Massachusetts","2532067","9349","328567","8164","2203500","11551",
"0400000US26","Michigan","3772433","14208","712577","9526","3059856","13536",
"0400000US27","Minnesota","2096477","7824","195204","5925","1901273","9125",
"0400000US28","Mississippi","1080991","8431","191533","6666","889458","8006",
"0400000US29","Missouri","2341074","10807","342104","8364","1998970","12327",
"0400000US30","Montana","404250","4567","46791","3113","357459","4748",
"0400000US31","Nebraska","723800","4514","70748","3648","653052","4854",
"0400000US32","Nevada","982352","9598","114939","5582","867413","10996",
"0400000US33","New Hampshire","516454","4150","46957","3272","469497","5037",
"0400000US34","New Jersey","3167629","9918","279533","6600","2888096","12286",
"0400000US35","New Mexico","767285","6715","121357","4801","645928","7814",
"0400000US36","New York","7187938","18167","1147351","15258","6040587","20498",
"0400000US37","North Carolina","3683364","19202","563375","13011","3119989","19251",
"0400000US38","North Dakota","283440","2528","25963","2059","257477","3217",
"0400000US39","Ohio","4538555","15280","718805","11633","3819750","15913",
"0400000US40","Oklahoma","1442731","7338","217521","5734","1225210","7930",
"0400000US41","Oregon","1516979","8379","296440","8160","1220539","10678",
"0400000US42","Pennsylvania","4937333","13801","668432","11728","4268901","14924",
"0400000US44","Rhode Island","412259","3948","62208","3244","350051","4886",
"0400000US45","South Carolina","1768834","12783","281039","9522","1487795","12801",
"0400000US46","South Dakota","323215","3255","36296","2958","286919","4218",
"0400000US47","Tennessee","2467428","12592","447177","9154","2020251","13037",
"0400000US48","Texas","8850370","21114","1244321","16361","7606049","25800",
"0400000US49","Utah","884253","5722","94133","4815","790120","6984",
"0400000US50","Vermont","257358","2656","37198","2471","220160","2982",
"0400000US51","Virginia","2990650","13887","303613","9106","2687037","14795",
"0400000US53","Washington","2632621","9876","403808","9218","2228813","11053",
"0400000US54","West Virginia","735408","6147","122339","4590","613069","6947",
"0400000US55","Wisconsin","2275352","8388","305508","7559","1969844","10857",
"0400000US56","Wyoming","222539","3310","14469","1764","208070","3632",
"0400000US72","Puerto Rico","1256151","8804","477186","8243","778965","9484",
