State,Total House,House Dem,House Rep,House Third Party,House Vacancies,Total Senate,Senate Dem,Senate Rep,Senate Third Party,Senate Vacancies,Legislative Control,Governor Party,State Control
Alabama,105,39,64,,2,35,11,23,1,,R,R,R
Alaska,40,15,25,,,20,7,13,,,R,R,R
Arizona,60,24,36,,,30,13,17,,,R,R,R
Arkansas,100,48,51,1,,35,14,21,,,R,D,S
California,80,54,26,,,40,26,12,,2,D,D,D
Colorado,65,36,29,,,35,20,15,,,D,D,D
Connecticut,151,99,52,,,36,22,14,,,D,D,D
Delaware,41,27,14,,,21,13,8,,,D,D,D
Florida,120,46,74,,,40,14,26,,,R,R,R
Georgia,180,60,119,1,,56,18,38,,,R,R,R
Hawaii,51,44,7,,,25,24,1,,,D,D,D
Idaho,70,13,57,,,35,7,28,,,R,R,R
Illinois,118,71,47,,,59,40,19,,,D,D,D
Indiana,100,31,69,,,50,13,37,,,R,R,R
Iowa,100,47,53,,,50,26,23,,1,S,R,S
Kansas,125,35,90,,,40,9,31,,,R,R,R
Kentucky,100,55,45,,,38,14,22,1,1,S,D,S
Louisiana,105,45,58,2,,39,15,24,,,R,R,R
Maine,151,87,60,4,,35,19,15,1,,D,R,S
Maryland,141,98,43,,,47,35,12,,,D,D,D
Massachusetts,160,131,29,,,40,36,4,,,D,D,D
Michigan,110,51,59,,,38,12,26,,,R,R,R
Minnesota,134,73,61,,,67,39,28,,,D,D,D
Mississippi,122,58,63,,1,52,21,30,,1,R,R,R
Missouri,163,53,110,,,34,10,24,,,R,D,S
Montana,100,37,63,,,50,23,27,,,R,D,S
Nebraska,,,,,,49,,,49,,Nonpartisan,R,N/A
Nevada,42,27,15,,,21,11,10,,,D,R,S
New Hampshire,400,222,178,,,24,11,13,,,S,D,S
New Jersey,80,48,32,,,40,24,16,,,D,R,S
New Mexico,70,38,32,,,42,25,17,,,D,R,S
New York,150,107,43,,,63,33,30,,,D,D,D
North Carolina,120,43,77,,,50,18,32,,,R,R,R
North Dakota,94,23,71,,,47,13,33,,1,R,R,R
Ohio,99,39,60,,,33,10,23,,,R,R,R
Oklahoma,101,29,72,,,48,12,36,,,R,R,R
Oregon,60,34,26,,,30,16,14,,,D,D,D
Pennsylvania,203,93,110,,,50,23,27,,,R,R,R
Rhode Island,75,69,6,,,38,32,5,1,,D,I,S
South Carolina,124,46,73,5,,46,18,28,,,R,R,R
South Dakota,70,17,53,,,35,7,28,,,R,R,R
Tennessee,99,28,70,1,,33,7,26,,,R,R,R
Texas,150,55,95,,,31,12,19,,,R,R,R
Utah,75,14,61,,,29,5,24,,,R,R,R
Vermont,150,96,45,9,,30,22,6,2,,D,D,D
Virginia,100,31,67,1,1,40,20,20,,,S,R,S
Washington,98,55,43,,,49,26,23,,,D,D,D
West Virginia,100,54,46,,,34,25,9,,,D,D,D
Wisconsin,99,39,60,,,33,15,18,,,R,R,R
Wyoming,60,8,52,,,30,4,26,,,R,R,R
